,airline,date_of_journey,source,destination,duration,total_stops,price,journey_month,journey_day,journey_day_name,dep_hour,dep_range
135,Jet Airways,2019-05-18,Delhi,Cochin,1403,2,15129,5,18,1_Saturday,19,4_Evening
136,Jet Airways,2019-06-06,Delhi,Cochin,1281,2,13376,6,6,6_Thursday,6,2_Morning
137,Air India,2019-06-27,Delhi,Cochin,1281,2,10441,6,27,6_Thursday,22,4_Evening
138,Jet Airways,2019-05-24,Banglore,Delhi,122,0,4030,5,24,7_Friday,6,2_Morning
139,Jet Airways,2019-03-03,Delhi,Cochin,610,1,17024,3,3,2_Sunday,8,2_Morning
140,Multiple carriers,2019-04-09,Delhi,Cochin,8,1,13017,4,9,4_Tuesday,17,3_Afternoon
141,GoAir,2019-06-06,Kolkata,Banglore,488,1,6686,6,6,6_Thursday,23,4_Evening
142,IndiGo,2019-06-15,Delhi,Cochin,305,1,5636,6,15,1_Saturday,2,1_Early Morning
143,IndiGo,2019-06-09,Delhi,Cochin,488,1,6442,6,9,2_Sunday,7,2_Morning
144,Multiple carriers,2019-05-21,Delhi,Cochin,671,1,9486,5,21,4_Tuesday,13,3_Afternoon
145,Jet Airways,2019-05-21,Kolkata,Banglore,1647,1,10844,5,21,4_Tuesday,20,4_Evening
146,Jet Airways,2019-06-03,Delhi,Cochin,488,2,15318,6,3,3_Monday,20,4_Evening
147,Air India,2019-04-03,Delhi,Cochin,1220,1,5117,4,3,5_Wednesday,12,3_Afternoon
148,IndiGo,2019-06-24,Delhi,Cochin,244,1,6147,6,24,3_Monday,15,3_Afternoon
149,Multiple carriers,2019-06-09,Delhi,Cochin,488,1,7005,6,9,2_Sunday,12,3_Afternoon
150,SpiceJet,2019-04-03,Kolkata,Banglore,122,0,3873,4,3,5_Wednesday,22,4_Evening
151,Jet Airways,2019-03-21,Delhi,Cochin,1464,2,9270,3,21,6_Thursday,18,4_Evening
152,GoAir,2019-06-27,Banglore,Delhi,122,0,3898,6,27,6_Thursday,11,2_Morning
153,Jet Airways,2019-05-12,Kolkata,Banglore,732,1,14781,5,12,2_Sunday,8,2_Morning
154,Jet Airways,2019-05-24,Kolkata,Banglore,732,1,8586,5,24,7_Friday,20,4_Evening
155,Air India,2019-05-09,Kolkata,Banglore,1403,2,10697,5,9,6_Thursday,8,2_Morning
156,Jet Airways,2019-06-27,Delhi,Cochin,976,2,14300,6,27,6_Thursday,20,4_Evening
157,IndiGo,2019-03-03,Banglore,New Delhi,122,0,8855,3,3,2_Sunday,18,4_Evening
158,Jet Airways,2019-05-12,Kolkata,Banglore,1525,1,10844,5,12,2_Sunday,16,3_Afternoon
159,Jet Airways,2019-03-06,Delhi,Cochin,1586,1,17024,3,6,5_Wednesday,2,1_Early Morning
160,Jet Airways,2019-05-01,Kolkata,Banglore,1708,1,9314,5,1,5_Wednesday,9,2_Morning
161,IndiGo,2019-03-24,Banglore,New Delhi,122,0,4777,3,24,2_Sunday,0,1_Early Morning
162,Air India,2019-06-09,Kolkata,Banglore,1525,1,7662,6,9,2_Sunday,12,3_Afternoon
163,IndiGo,2019-05-09,Delhi,Cochin,549,1,6442,5,9,6_Thursday,6,2_Morning
164,SpiceJet,2019-06-12,Delhi,Cochin,244,1,5264,6,12,5_Wednesday,8,2_Morning
165,Jet Airways,2019-05-27,Delhi,Cochin,915,1,12898,5,27,3_Monday,13,3_Afternoon
166,Air India,2019-03-03,Mumbai,Hyderabad,61,0,6092,3,3,2_Sunday,13,3_Afternoon
167,SpiceJet,2019-05-21,Banglore,Delhi,122,0,3311,5,21,4_Tuesday,5,1_Early Morning
168,Jet Airways,2019-03-27,Delhi,Cochin,549,1,6540,3,27,5_Wednesday,19,4_Evening
169,IndiGo,2019-05-27,Banglore,Delhi,122,0,3419,5,27,3_Monday,1,1_Early Morning
170,Jet Airways,2019-04-03,Delhi,Cochin,1342,1,5177,4,3,5_Wednesday,14,3_Afternoon
171,Air India,2019-04-18,Delhi,Cochin,183,0,8246,4,18,6_Thursday,18,4_Evening
172,Jet Airways,2019-06-09,Kolkata,Banglore,671,1,14676,6,9,2_Sunday,9,2_Morning
173,Multiple carriers,2019-06-27,Delhi,Cochin,549,1,13587,6,27,6_Thursday,11,2_Morning
174,Jet Airways,2019-05-06,Kolkata,Banglore,732,1,9663,5,6,3_Monday,21,4_Evening
175,Jet Airways,2019-06-12,Kolkata,Banglore,1037,1,13044,6,12,5_Wednesday,16,3_Afternoon
176,IndiGo,2019-04-03,Delhi,Cochin,305,1,5073,4,3,5_Wednesday,20,4_Evening
177,Vistara,2019-05-21,Kolkata,Banglore,1525,1,9345,5,21,4_Tuesday,17,3_Afternoon
178,Jet Airways,2019-05-06,Kolkata,Banglore,20,1,9663,5,6,3_Monday,14,3_Afternoon
179,Multiple carriers,2019-05-21,Delhi,Cochin,13,1,14277,5,21,4_Tuesday,8,2_Morning
180,Jet Airways,2019-06-01,Delhi,Cochin,1098,1,10262,6,1,1_Saturday,10,2_Morning
181,Jet Airways,2019-03-27,Mumbai,Hyderabad,61,0,5678,3,27,5_Wednesday,19,4_Evening
182,Multiple carriers,2019-05-15,Delhi,Cochin,549,1,13727,5,15,5_Wednesday,16,3_Afternoon
183,Jet Airways,2019-05-06,Kolkata,Banglore,16,1,9663,5,6,3_Monday,20,4_Evening
184,IndiGo,2019-05-12,Chennai,Kolkata,122,0,3858,5,12,2_Sunday,14,3_Afternoon
185,SpiceJet,2019-06-24,Delhi,Cochin,244,1,4812,6,24,3_Monday,8,2_Morning
186,IndiGo,2019-06-27,Delhi,Cochin,305,1,5775,6,27,6_Thursday,21,4_Evening
187,Jet Airways,2019-06-06,Kolkata,Banglore,1464,1,10539,6,6,6_Thursday,9,2_Morning
188,IndiGo,2019-06-03,Kolkata,Banglore,122,0,4804,6,3,3_Monday,15,3_Afternoon
189,Air Asia,2019-06-12,Banglore,Delhi,122,0,3383,6,12,5_Wednesday,11,2_Morning
190,IndiGo,2019-03-03,Banglore,New Delhi,244,1,8738,3,3,2_Sunday,12,3_Afternoon
191,Air India,2019-03-27,Delhi,Cochin,1525,1,7165,3,27,5_Wednesday,5,1_Early Morning
192,IndiGo,2019-06-24,Delhi,Cochin,366,1,6412,6,24,3_Monday,16,3_Afternoon
193,Jet Airways,2019-06-27,Banglore,Delhi,183,0,8016,6,27,6_Thursday,18,4_Evening
194,Jet Airways,2019-03-12,Banglore,New Delhi,1098,1,11087,3,12,4_Tuesday,20,4_Evening
195,SpiceJet,2019-06-27,Chennai,Kolkata,122,0,3543,6,27,6_Thursday,9,2_Morning
196,Jet Airways,2019-06-12,Kolkata,Banglore,732,1,12471,6,12,5_Wednesday,16,3_Afternoon
197,Jet Airways,2019-06-24,Delhi,Cochin,1159,1,10262,6,24,3_Monday,9,2_Morning
198,Air India,2019-03-18,Banglore,New Delhi,122,0,4441,3,18,3_Monday,13,3_Afternoon
199,Multiple carriers,2019-03-27,Delhi,Cochin,488,1,12537,3,27,5_Wednesday,7,2_Morning
200,GoAir,2019-03-24,Kolkata,Banglore,549,1,10091,3,24,2_Sunday,22,4_Evening
201,Air India,2019-06-03,Banglore,Delhi,122,0,6961,6,3,3_Monday,21,4_Evening
202,IndiGo,2019-04-24,Delhi,Cochin,183,0,5013,4,24,5_Wednesday,5,1_Early Morning
203,Air India,2019-05-18,Delhi,Cochin,122,0,6934,5,18,1_Saturday,5,1_Early Morning
204,Multiple carriers,2019-06-03,Delhi,Cochin,732,1,10877,6,3,3_Monday,6,2_Morning
205,Jet Airways,2019-04-18,Banglore,Delhi,122,0,7229,4,18,6_Thursday,15,3_Afternoon
206,IndiGo,2019-03-27,Delhi,Cochin,549,1,7048,3,27,5_Wednesday,16,3_Afternoon
207,Vistara,2019-06-27,Banglore,Delhi,122,0,4878,6,27,6_Thursday,17,3_Afternoon
208,Jet Airways,2019-05-21,Kolkata,Banglore,549,1,10844,5,21,4_Tuesday,14,3_Afternoon
209,Jet Airways,2019-05-18,Delhi,Cochin,1769,2,15129,5,18,1_Saturday,23,4_Evening
210,IndiGo,2019-05-12,Banglore,Delhi,122,0,3943,5,12,2_Sunday,0,1_Early Morning
211,SpiceJet,2019-06-06,Delhi,Cochin,305,1,5583,6,6,6_Thursday,6,2_Morning
212,Multiple carriers,2019-06-06,Delhi,Cochin,549,1,9646,6,6,6_Thursday,7,2_Morning
213,Multiple carriers,2019-06-03,Delhi,Cochin,610,1,7677,6,3,3_Monday,8,2_Morning
214,IndiGo,2019-06-01,Delhi,Cochin,244,1,6842,6,1,1_Saturday,5,1_Early Morning
215,Jet Airways,2019-06-24,Mumbai,Hyderabad,61,0,4995,6,24,3_Monday,8,2_Morning
216,Vistara,2019-06-09,Kolkata,Banglore,671,1,9555,6,9,2_Sunday,7,2_Morning
217,IndiGo,2019-06-01,Banglore,Delhi,122,0,4077,6,1,1_Saturday,1,1_Early Morning
218,Jet Airways,2019-05-12,Banglore,Delhi,122,0,7229,5,12,2_Sunday,15,3_Afternoon
219,Multiple carriers,2019-06-09,Delhi,Cochin,10,1,12192,6,9,2_Sunday,9,2_Morning
220,Air India,2019-04-12,Banglore,Delhi,122,0,5911,4,12,7_Friday,10,2_Morning
221,Air India,2019-06-12,Delhi,Cochin,610,1,8372,6,12,5_Wednesday,9,2_Morning
222,Jet Airways,2019-03-18,Mumbai,Hyderabad,61,0,4995,3,18,3_Monday,7,2_Morning
223,Multiple carriers,2019-05-09,Delhi,Cochin,549,1,14323,5,9,6_Thursday,10,2_Morning
224,Jet Airways,2019-06-09,Delhi,Cochin,1342,2,13014,6,9,2_Sunday,5,1_Early Morning
225,Air India,2019-06-06,Delhi,Cochin,1708,2,13591,6,6,6_Thursday,14,3_Afternoon
226,Jet Airways,2019-03-03,Delhi,Cochin,2257,2,18799,3,3,2_Sunday,5,1_Early Morning
227,IndiGo,2019-04-27,Banglore,Delhi,122,0,3943,4,27,1_Saturday,23,4_Evening
228,Jet Airways,2019-05-27,Mumbai,Hyderabad,61,0,4995,5,27,3_Monday,10,2_Morning
229,Air India,2019-03-24,Kolkata,Banglore,1525,1,14641,3,24,2_Sunday,16,3_Afternoon
230,Air India,2019-04-12,Kolkata,Banglore,122,0,4460,4,12,7_Friday,20,4_Evening
231,Air India,2019-05-18,Delhi,Cochin,366,1,10191,5,18,1_Saturday,13,3_Afternoon
232,Jet Airways,2019-03-09,Delhi,Cochin,1037,1,13843,3,9,1_Saturday,2,1_Early Morning
233,IndiGo,2019-05-01,Delhi,Cochin,305,1,6349,5,1,5_Wednesday,21,4_Evening
234,Air Asia,2019-05-01,Kolkata,Banglore,122,0,4409,5,1,5_Wednesday,10,2_Morning
235,Jet Airways,2019-03-06,Delhi,Cochin,1525,1,17024,3,6,5_Wednesday,18,4_Evening
236,Multiple carriers,2019-05-18,Delhi,Cochin,793,1,13727,5,18,1_Saturday,7,2_Morning
237,IndiGo,2019-03-15,Banglore,New Delhi,122,0,8855,3,15,7_Friday,18,4_Evening
238,Multiple carriers,2019-06-24,Delhi,Cochin,610,1,12524,6,24,3_Monday,8,2_Morning
239,Jet Airways,2019-03-18,Banglore,New Delhi,488,1,13555,3,18,3_Monday,11,2_Morning
240,Jet Airways,2019-06-06,Kolkata,Banglore,305,1,10844,6,6,6_Thursday,6,2_Morning
241,Multiple carriers,2019-06-09,Delhi,Cochin,12,1,13587,6,9,2_Sunday,9,2_Morning
242,SpiceJet,2019-06-12,Chennai,Kolkata,122,0,3543,6,12,5_Wednesday,9,2_Morning
243,Vistara,2019-03-18,Chennai,Kolkata,122,0,4842,3,18,3_Monday,7,2_Morning
244,IndiGo,2019-04-24,Banglore,Delhi,122,0,3943,4,24,5_Wednesday,23,4_Evening
245,Jet Airways,2019-06-09,Delhi,Cochin,549,1,10577,6,9,2_Sunday,19,4_Evening
246,IndiGo,2019-05-15,Delhi,Cochin,610,1,6979,5,15,5_Wednesday,10,2_Morning
247,Vistara,2019-06-27,Chennai,Kolkata,122,0,11982,6,27,6_Thursday,17,3_Afternoon
248,SpiceJet,2019-06-06,Delhi,Cochin,244,1,5264,6,6,6_Thursday,8,2_Morning
249,Vistara,2019-03-03,Delhi,Cochin,183,0,8001,3,3,2_Sunday,6,2_Morning
250,Air India,2019-06-01,Delhi,Cochin,1403,2,10651,6,1,1_Saturday,19,4_Evening
251,Jet Airways,2019-05-24,Kolkata,Banglore,1647,1,10844,5,24,7_Friday,16,3_Afternoon
252,Multiple carriers,2019-03-27,Delhi,Cochin,732,1,6601,3,27,5_Wednesday,9,2_Morning
253,Air India,2019-03-21,Delhi,Cochin,1464,1,6587,3,21,6_Thursday,19,4_Evening
254,SpiceJet,2019-03-21,Mumbai,Hyderabad,61,0,3173,3,21,6_Thursday,13,3_Afternoon
255,Air India,2019-05-09,Banglore,Delhi,122,0,5228,5,9,6_Thursday,10,2_Morning
256,Jet Airways,2019-06-21,Banglore,Delhi,3,0,5769,6,21,7_Friday,7,2_Morning
257,Jet Airways,2019-06-06,Delhi,Cochin,11,1,14714,6,6,6_Thursday,8,2_Morning
258,Jet Airways,2019-06-03,Delhi,Cochin,793,2,13014,6,3,3_Monday,5,1_Early Morning
259,IndiGo,2019-06-03,Banglore,Delhi,122,0,3359,6,3,3_Monday,22,4_Evening
260,GoAir,2019-03-03,Banglore,New Delhi,122,0,6722,3,3,2_Sunday,20,4_Evening
261,IndiGo,2019-03-18,Kolkata,Banglore,122,0,4462,3,18,3_Monday,9,2_Morning
262,IndiGo,2019-03-09,Delhi,Cochin,671,1,6171,3,9,1_Saturday,4,1_Early Morning
